appid,game_name,concurrent_players,collected_at
570,Dota 2,444755,2025-12-31 01:35:46.431148
1778820,TEKKEN 8,5404,2025-12-31 01:35:46.431148
271590,Grand Theft Auto V,63816,2025-12-31 01:45:49.445568
1811260,EA SPORTS FC™ 26,603,2025-12-31 01:45:49.445568
730,Counter-Strike 2,771156,2025-12-31 01:45:49.445568
578080,PUBG: Battlegrounds,98263,2025-12-31 01:45:49.445568
1172470,Apex Legends,47070,2025-12-31 01:45:49.445568
570,Dota 2,444755,2025-12-31 01:45:49.445568
1778820,TEKKEN 8,5371,2025-12-31 01:45:49.445568
271590,Grand Theft Auto V,62287,2025-12-31 01:55:51.975721
1811260,EA SPORTS FC™ 26,603,2025-12-31 01:55:51.975721
730,Counter-Strike 2,766108,2025-12-31 01:55:51.975721
578080,PUBG: Battlegrounds,106185,2025-12-31 01:55:51.975721
1172470,Apex Legends,49083,2025-12-31 01:55:51.975721
570,Dota 2,443987,2025-12-31 01:55:51.975721
1778820,TEKKEN 8,5371,2025-12-31 01:55:51.975721
271590,Grand Theft Auto V,62287,2025-12-31 02:05:55.433141
1811260,EA SPORTS FC™ 26,586,2025-12-31 02:05:55.433141
730,Counter-Strike 2,766108,2025-12-31 02:05:55.433141
578080,PUBG: Battlegrounds,106185,2025-12-31 02:05:55.433141
1172470,Apex Legends,49083,2025-12-31 02:05:55.433141
570,Dota 2,443987,2025-12-31 02:05:55.433141
1778820,TEKKEN 8,5333,2025-12-31 02:05:55.433141
271590,Grand Theft Auto V,61166,2025-12-31 02:15:58.002533
1811260,EA SPORTS FC™ 26,586,2025-12-31 02:15:58.002533
730,Counter-Strike 2,787532,2025-12-31 02:15:58.002533
578080,PUBG: Battlegrounds,120486,2025-12-31 02:15:58.002533
